iter	Passed	Remaining
0	59	59841
1	60	30236
2	61	20350
3	61	15415
4	62	12432
5	63	10453
6	63	9031
7	64	7969
8	64	7141
9	65	6486
10	66	5944
11	66	5489
12	67	5106
13	67	4781
14	68	4498
15	69	4246
16	69	4031
17	70	3836
18	70	3664
19	71	3511
20	72	3369
21	72	3242
22	73	3131
23	74	3025
24	75	2931
25	75	2841
26	76	2755
27	77	2675
28	77	2603
29	78	2536
30	79	2472
31	79	2411
32	80	2353
33	80	2299
34	81	2249
35	82	2201
36	82	2155
37	83	2115
38	84	2075
39	84	2036
40	85	1998
41	86	1964
42	86	1930
43	87	1897
44	87	1866
45	88	1838
46	89	1812
47	90	1785
48	90	1760
49	91	1735
50	92	1712
51	92	1688
52	93	1666
53	93	1645
54	94	1625
55	95	1605
56	95	1586
57	96	1568
58	97	1550
59	97	1533
60	98	1516
61	99	1500
62	99	1485
63	100	1470
64	101	1456
65	101	1442
66	102	1428
67	102	1410
68	103	1397
69	104	1384
70	104	1371
71	105	1359
72	106	1347
73	106	1335
74	107	1324
75	108	1314
76	108	1305
77	109	1296
78	110	1288
79	111	1279
80	111	1269
81	112	1260
82	113	1250
83	113	1241
84	114	1230
85	115	1223
86	115	1212
87	116	1204
88	116	1197
89	117	1189
90	118	1182
91	119	1174
92	119	1169
93	120	1164
94	121	1158
95	122	1151
96	123	1146
97	123	1141
98	124	1135
99	125	1129
100	126	1124
101	126	1117
102	127	1112
103	128	1106
104	129	1100
105	129	1094
106	130	1088
107	131	1083
108	131	1078
109	132	1072
110	133	1067
111	134	1063
112	134	1058
113	135	1053
114	136	1048
115	136	1042
116	137	1037
117	138	1032
118	138	1027
119	139	1024
120	140	1020
121	141	1016
122	141	1009
123	142	1005
124	143	1001
125	143	997
126	144	993
127	144	987
128	146	986
129	147	984
130	148	982
131	148	978
132	149	976
133	151	978
134	152	976
135	153	973
136	154	970
137	154	966
138	155	962
139	156	959
140	156	955
141	157	953
142	158	950
143	159	947
144	160	944
145	160	941
146	161	937
147	162	934
148	162	930
149	163	927
150	164	925
151	165	922
152	165	918
153	166	915
154	167	912
155	167	908
156	168	905
157	169	901
158	170	899
159	170	897
160	171	895
161	172	891
162	173	888
163	173	885
164	174	882
165	175	879
166	175	876
167	176	874
168	177	872
169	178	869
170	178	866
171	179	863
172	180	861
173	180	858
174	181	855
175	182	853
176	183	852
177	184	850
178	185	848
179	185	845
180	186	841
181	186	839
182	187	836
183	188	834
184	189	833
185	190	832
186	190	830
187	191	828
188	192	825
189	193	824
190	194	821
191	195	821
192	196	820
193	197	819
194	197	817
195	198	815
196	199	813
197	200	811
198	201	809
199	201	807
200	202	805
201	203	803
202	204	801
203	204	799
204	205	796
205	206	794
206	206	792
207	207	790
208	208	789
209	209	787
210	209	785
211	210	782
212	211	780
213	211	778
214	212	776
215	213	774
216	214	773
217	215	772
218	216	771
219	216	769
220	217	767
221	218	765
222	219	764
223	220	763
224	221	762
225	222	761
226	223	759
227	223	757
228	224	756
229	225	754
230	226	753
231	227	752
232	228	750
233	228	749
234	229	747
235	230	745
236	231	743
237	231	741
238	232	741
239	233	739
240	234	738
241	235	736
242	235	734
243	236	733
244	237	731
245	238	730
246	239	728
247	239	727
248	240	725
249	241	723
250	241	721
251	242	719
252	243	717
253	243	716
254	244	714
255	245	713
256	246	711
257	246	710
258	247	708
259	248	707
260	249	705
261	249	703
262	250	702
263	251	701
264	252	699
265	253	698
266	253	697
267	254	695
268	255	694
269	256	692
270	257	691
271	257	690
272	258	688
273	259	687
274	260	686
275	261	685
276	262	683
277	262	682
278	263	681
279	264	680
280	265	678
281	265	677
282	266	675
283	267	674
284	267	672
285	268	670
286	269	669
287	270	668
288	270	666
289	271	664
290	272	663
291	272	661
292	273	659
293	274	658
294	274	656
295	275	655
296	276	654
297	277	652
298	277	651
299	278	649
300	279	648
301	279	647
302	280	645
303	281	644
304	281	642
305	282	641
306	283	639
307	284	638
308	284	636
309	285	635
310	286	633
311	286	632
312	287	630
313	288	629
314	288	628
315	289	626
316	290	625
317	290	623
318	291	622
319	292	620
320	292	619
321	293	617
322	293	616
323	294	614
324	295	613
325	296	612
326	296	610
327	297	609
328	298	608
329	298	606
330	299	605
331	300	604
332	300	602
333	301	601
334	302	600
335	303	598
336	303	597
337	304	596
338	305	594
339	305	593
340	306	592
341	307	591
342	307	589
343	308	588
344	309	586
345	309	585
346	310	584
347	311	582
348	311	581
349	312	580
350	313	579
351	313	577
352	314	576
353	315	575
354	315	574
355	316	572
356	317	571
357	317	570
358	318	568
359	319	567
360	320	566
361	320	565
362	321	564
363	322	562
364	322	561
365	323	560
366	324	559
367	324	558
368	325	556
369	326	555
370	327	554
371	327	553
372	328	552
373	329	550
374	329	549
375	330	548
376	331	547
377	331	545
378	332	544
379	333	543
380	334	542
381	334	541
382	335	540
383	336	539
384	337	538
385	337	537
386	338	536
387	339	535
388	340	534
389	340	533
390	341	531
391	342	530
392	342	529
393	343	528
394	344	527
395	345	526
396	345	525
397	346	524
398	347	523
399	348	522
400	348	520
401	349	520
402	350	518
403	351	517
404	351	516
405	352	515
406	353	514
407	354	513
408	354	512
409	355	511
410	356	510
411	356	509
412	357	508
413	358	507
414	359	506
415	359	504
416	360	503
417	361	502
418	361	501
419	362	500
420	363	499
421	363	498
422	364	497
423	365	496
424	366	495
425	366	494
426	367	493
427	368	491
428	368	490
429	369	489
430	370	488
431	370	487
432	371	486
433	372	485
434	373	484
435	373	483
436	374	482
437	375	481
438	375	480
439	376	479
440	377	478
441	378	477
442	378	476
443	379	475
444	380	474
445	380	473
446	381	471
447	382	470
448	382	469
449	383	468
450	384	467
451	384	466
452	385	465
453	386	464
454	386	463
455	387	462
456	388	461
457	388	460
458	389	459
459	390	458
460	390	456
461	391	455
462	392	454
463	392	453
464	393	452
465	394	451
466	394	450
467	395	449
468	396	448
469	396	447
470	397	446
471	398	445
472	398	444
473	399	443
474	400	442
475	400	441
476	401	440
477	402	439
478	403	438
479	403	437
480	404	436
481	405	435
482	405	434
483	406	433
484	406	432
485	407	431
486	408	430
487	409	429
488	409	428
489	410	427
490	411	426
491	412	425
492	412	424
493	413	423
494	414	422
495	415	421
496	415	420
497	416	419
498	417	418
499	417	417
500	418	416
501	419	415
502	419	414
503	420	413
504	421	412
505	421	411
506	422	410
507	423	409
508	423	408
509	424	407
510	425	406
511	425	405
512	426	404
513	427	404
514	428	403
515	428	402
516	429	401
517	429	400
518	430	399
519	431	398
520	432	397
521	432	396
522	433	395
523	434	394
524	435	393
525	435	392
526	436	391
527	437	390
528	437	389
529	438	388
530	439	387
531	439	387
532	440	386
533	441	385
534	442	384
535	442	383
536	443	382
537	444	381
538	444	380
539	445	379
540	446	378
541	447	377
542	447	376
543	448	376
544	449	375
545	450	374
546	450	373
547	451	372
548	452	371
549	452	370
550	453	369
551	454	368
552	454	367
553	455	366
554	456	365
555	456	364
556	457	363
557	458	363
558	459	362
559	459	361
560	460	360
561	461	359
562	461	358
563	462	357
564	463	356
565	463	355
566	464	354
567	465	353
568	465	352
569	466	352
570	467	351
571	468	350
572	468	349
573	469	348
574	470	347
575	471	346
576	471	345
577	472	345
578	473	344
579	473	343
580	474	342
581	475	341
582	476	340
583	476	339
584	477	338
585	478	337
586	479	337
587	479	336
588	480	335
589	481	334
590	481	333
591	482	332
592	483	331
593	483	330
594	484	329
595	485	329
596	486	328
597	487	327
598	487	326
599	488	325
600	489	324
601	490	324
602	490	323
603	491	322
604	492	321
605	492	320
606	493	319
607	494	318
608	494	317
609	495	316
610	496	315
611	496	315
612	497	314
613	498	313
614	498	312
615	499	311
616	500	310
617	501	309
618	501	308
619	502	307
620	503	307
621	503	306
622	504	305
623	505	304
624	505	303
625	506	302
626	506	301
627	507	300
628	508	299
629	509	298
630	509	298
631	510	297
632	511	296
633	511	295
634	512	294
635	513	293
636	513	292
637	514	291
638	515	290
639	515	290
640	516	289
641	517	288
642	517	287
643	518	286
644	519	285
645	519	284
646	520	283
647	521	283
648	521	282
649	522	281
650	523	280
