iter	Passed	Remaining
0	55	55201
1	56	28082
2	57	19220
3	58	14647
4	59	11903
5	60	10073
6	61	8730
7	62	7773
8	63	7028
9	64	6415
10	65	5901
11	66	5467
12	67	5107
13	68	4811
14	69	4551
15	70	4322
16	71	4109
17	71	3921
18	72	3751
19	73	3596
20	74	3476
21	75	3356
22	76	3248
23	77	3146
24	78	3045
25	78	2950
26	79	2864
27	80	2789
28	81	2725
29	82	2657
30	83	2596
31	83	2537
32	84	2481
33	85	2426
34	86	2382
35	87	2339
36	88	2296
37	89	2255
38	89	2214
39	90	2173
40	91	2135
41	92	2104
42	93	2071
43	93	2041
44	94	2011
45	95	1981
46	96	1952
47	97	1924
48	97	1901
49	98	1880
50	99	1857
51	100	1834
52	101	1813
53	102	1791
54	103	1769
55	104	1755
56	105	1739
57	105	1720
58	106	1700
59	107	1681
60	108	1663
61	108	1645
62	109	1630
63	110	1616
64	111	1600
65	112	1584
66	112	1569
67	113	1553
68	114	1539
69	114	1525
70	115	1512
71	116	1501
72	117	1493
73	118	1483
74	119	1472
75	120	1462
76	121	1450
77	122	1442
78	122	1433
79	123	1423
80	124	1414
81	125	1404
82	125	1390
83	126	1381
84	127	1371
85	128	1363
86	129	1357
87	130	1348
88	130	1340
89	131	1331
90	132	1321
91	133	1313
92	133	1305
93	134	1298
94	135	1290
95	136	1283
96	137	1275
97	137	1267
98	138	1259
99	139	1252
100	139	1246
101	140	1241
102	141	1235
103	142	1229
104	143	1222
105	144	1216
106	145	1210
107	145	1204
108	146	1199
109	147	1194
110	148	1189
111	149	1183
112	150	1177
113	150	1172
114	151	1166
115	152	1160
116	153	1154
117	153	1149
118	155	1149
119	155	1143
120	156	1137
121	157	1131
122	157	1126
123	158	1121
124	159	1117
125	160	1112
126	161	1107
127	161	1102
128	162	1098
129	163	1093
130	164	1088
131	164	1084
132	165	1080
133	166	1076
134	167	1073
135	168	1068
136	168	1064
137	169	1060
138	170	1055
139	171	1051
140	172	1048
141	172	1044
142	173	1040
143	174	1036
144	175	1032
145	175	1028
146	176	1024
147	177	1020
148	178	1016
149	179	1014
150	179	1011
151	180	1007
152	181	1003
153	182	1000
154	182	996
155	183	992
156	184	989
157	185	986
158	185	983
159	186	979
160	187	974
161	187	971
162	188	967
163	189	964
164	189	960
165	190	958
166	191	955
167	192	952
168	193	949
169	193	946
170	194	942
171	195	939
172	195	936
173	196	933
174	197	931
175	198	928
176	199	925
177	199	923
178	200	920
179	201	917
180	202	914
181	202	911
182	203	910
183	204	908
184	205	905
185	206	903
186	207	900
187	207	897
188	208	894
189	209	892
190	210	890
191	211	889
192	212	887
193	212	884
194	213	882
195	214	880
196	215	877
197	216	876
198	217	874
199	218	872
200	219	870
201	219	868
202	220	865
203	221	863
204	222	861
205	223	860
206	224	858
207	224	856
208	225	853
209	226	851
210	227	849
211	227	847
212	228	845
213	229	843
214	230	841
215	231	839
216	232	837
217	232	834
218	233	832
219	234	830
220	235	829
221	235	826
222	236	824
223	237	822
224	238	820
225	239	818
226	239	816
227	240	815
228	241	813
229	242	811
230	243	809
231	243	807
232	244	805
233	245	803
234	246	801
235	247	800
236	248	798
237	248	796
238	249	794
239	250	792
240	251	790
241	251	788
242	252	787
243	253	785
244	254	784
245	255	782
246	255	780
247	256	778
248	257	776
249	258	774
250	259	772
251	260	771
252	260	770
253	261	768
254	262	767
255	263	765
256	264	763
257	264	762
258	266	761
259	267	760
260	268	759
261	268	757
262	269	755
263	270	754
264	271	752
265	272	751
266	273	749
267	273	748
268	274	746
269	275	744
270	276	743
271	277	741
272	277	740
273	278	738
274	279	737
275	280	735
276	281	734
277	281	732
278	282	730
279	283	728
280	284	727
281	285	726
282	286	724
283	286	723
284	287	721
285	288	719
286	289	718
287	289	716
288	290	715
289	291	713
290	292	712
291	293	711
292	294	709
293	294	708
294	295	706
295	296	704
296	297	703
297	298	702
298	298	700
299	299	698
300	300	697
301	300	695
302	301	694
303	302	692
304	303	691
305	304	690
306	305	688
307	305	687
308	306	685
309	307	684
310	308	683
311	309	681
312	310	680
313	311	679
314	311	677
315	312	676
316	313	674
317	314	673
318	314	672
319	315	670
320	316	669
321	317	667
322	317	666
323	318	664
324	319	663
325	320	662
326	320	660
327	321	659
328	322	657
329	323	656
330	324	655
331	324	653
332	325	652
333	326	650
334	327	649
335	327	647
336	328	646
337	329	645
338	330	643
339	330	642
340	331	640
341	332	639
342	332	637
343	333	636
344	334	634
345	335	633
346	335	632
347	336	630
348	337	629
349	338	628
350	338	626
351	339	625
352	340	624
353	341	622
354	342	621
355	342	620
356	343	618
357	344	617
358	345	616
359	346	615
360	346	614
361	347	612
362	348	611
363	349	610
364	350	609
365	351	608
366	352	607
367	353	606
368	354	605
369	355	604
370	355	603
371	356	601
372	357	600
373	357	599
374	358	597
375	359	596
376	360	595
377	361	594
378	361	592
379	362	591
380	363	590
381	363	588
382	364	587
383	365	586
384	366	584
385	367	583
386	367	582
387	368	581
388	369	579
389	369	578
390	370	577
391	371	575
392	371	574
393	372	573
394	373	571
395	374	570
396	374	569
397	375	568
398	376	566
399	377	565
400	377	564
401	378	563
402	379	561
403	380	560
404	380	559
405	381	558
406	382	556
407	382	555
408	383	554
409	384	553
410	385	552
411	386	550
412	386	549
413	387	548
414	388	547
415	388	545
416	389	544
417	390	543
418	391	542
419	391	541
420	392	539
421	393	538
422	394	537
423	394	536
424	395	535
425	396	533
426	396	532
427	397	531
428	398	530
429	399	529
430	400	528
431	400	527
432	401	526
433	402	524
434	403	523
435	403	522
436	404	521
437	405	520
438	406	518
439	406	517
440	407	516
441	408	515
442	408	514
443	409	513
444	410	512
445	411	510
446	412	509
447	412	508
448	413	507
449	414	506
450	415	505
451	415	504
452	416	503
453	417	502
454	418	501
455	419	500
456	420	499
457	420	497
458	421	496
459	422	495
460	423	494
461	423	493
462	424	492
463	425	491
464	426	490
465	426	489
466	427	487
467	428	486
468	429	485
469	430	484
470	430	483
471	431	482
472	432	481
473	432	480
474	433	479
475	434	478
476	435	477
477	435	476
478	436	475
479	437	473
480	438	472
481	439	471
482	439	470
483	440	469
484	441	468
485	442	467
486	443	466
487	444	465
488	444	464
489	445	463
490	446	462
491	447	461
492	447	460
493	448	459
494	449	458
495	450	457
496	451	456
497	452	455
498	452	454
499	453	453
500	454	453
501	455	452
502	456	451
503	457	450
504	458	449
505	458	448
506	459	446
507	460	446
508	461	444
509	462	444
510	462	442
511	463	441
512	464	440
513	465	439
514	465	438
515	466	437
516	467	436
517	468	436
518	469	434
519	470	434
520	471	433
521	472	432
522	472	431
523	473	430
524	474	429
525	475	428
526	476	427
527	477	426
528	478	425
529	479	424
530	480	424
531	480	423
532	481	422
533	482	421
534	483	420
535	484	419
536	484	418
537	485	416
538	486	415
539	487	415
540	488	414
541	488	413
542	489	412
543	490	411
544	491	410
545	492	409
546	492	408
547	493	407
548	494	406
549	495	405
550	496	404
551	496	403
552	498	402
553	498	401
554	499	400
555	500	399
556	501	399
557	502	398
558	503	397
559	504	396
560	505	395
561	506	394
562	506	393
563	507	392
564	508	391
565	509	390
566	510	389
567	510	388
568	511	387
569	512	386
570	513	385
571	514	384
572	515	383
573	516	383
574	517	382
575	518	381
576	519	380
577	519	379
578	520	378
579	521	377
580	522	376
581	523	375
582	524	375
583	525	374
584	526	373
585	527	372
586	527	371
587	528	370
588	529	369
589	530	368
590	531	367
591	532	366
592	532	365
593	533	364
594	534	363
595	535	362
596	536	362
597	537	361
598	538	360
599	538	359
600	539	358
601	540	357
602	541	356
603	542	355
604	542	354
605	543	353
606	544	352
607	545	351
608	546	350
609	547	349
610	548	349
611	549	348
612	550	347
613	550	346
614	551	345
615	552	344
616	554	344
617	555	343
618	556	342
619	557	341
620	558	340
621	559	339
622	561	339
623	563	339
624	564	338
625	565	337
626	566	337
627	567	336
628	568	335
629	569	334
630	570	333
631	571	332
632	572	331
633	573	331
634	574	330
635	575	329
636	575	328
637	576	327
638	577	326
639	579	325
640	580	325
641	581	324
642	583	323
643	584	323
644	585	322
645	586	321
646	587	320
647	588	319
648	589	318
649	589	317
650	590	316
651	591	315
652	592	314
653	593	313
654	594	313
655	595	312
656	595	311
657	596	310
658	597	309
659	598	308
660	599	307
661	600	306
662	601	305
663	601	304
664	602	303
665	603	302
666	604	301
667	605	300
668	605	299
669	606	298
670	607	297
671	608	297
672	609	296
673	610	295
674	611	294
675	611	293
676	612	292
677	614	291
678	615	290
679	617	290
680	618	289
681	619	289
682	620	288
683	621	287
684	622	286
685	623	285
686	625	284
687	626	283
688	626	282
689	628	282
690	629	281
691	631	280
692	631	279
693	632	278
694	633	278
695	634	277
696	635	276
697	636	275
698	636	274
699	637	273
700	638	272
701	638	271
702	639	270
703	640	269
704	641	268
705	642	267
706	642	266
707	643	265
708	644	264
709	645	263
710	645	262
711	646	261
712	647	260
713	648	259
714	649	258
715	650	257
716	651	257
717	652	256
718	652	255
719	653	254
720	654	253
721	655	252
722	656	251
723	657	250
724	658	249
725	658	248
726	659	247
727	660	246
728	661	245
729	663	245
730	665	244
731	667	244
732	669	243
733	670	243
734	672	242
735	673	241
736	674	240
737	675	239
738	676	238
739	677	238
740	678	237
741	679	236
742	680	235
743	681	234
744	682	233
745	683	232
746	684	231
747	685	230
748	686	229
749	686	228
750	687	227
751	688	226
752	689	226
753	690	225
754	691	224
755	692	223
756	693	222
757	693	221
758	694	220
759	695	219
760	696	218
761	697	217
762	698	216
763	698	215
764	699	214
765	700	213
766	701	212
767	702	212
768	703	211
769	703	210
770	704	209
771	705	208
772	706	207
773	706	206
774	707	205
775	708	204
776	709	203
777	710	202
778	711	201
779	712	200
780	712	199
781	713	198
782	714	198
783	715	197
784	716	196
785	717	195
786	718	194
787	719	193
788	719	192
789	720	191
790	721	190
791	722	189
792	723	188
793	724	187
794	725	186
795	725	186
796	726	185
797	727	184
798	728	183
799	729	182
800	730	181
801	730	180
802	731	179
803	732	178
804	733	177
805	734	176
806	735	175
807	736	174
808	736	173
809	737	173
810	738	172
811	739	171
812	740	170
813	741	169
814	741	168
815	742	167
816	743	166
817	744	165
818	745	164
819	746	163
820	747	162
821	747	161
822	748	161
823	749	160
824	750	159
825	750	158
826	751	157
827	752	156
828	753	155
829	754	154
830	754	153
831	755	152
832	756	151
833	757	150
834	757	149
835	759	148
836	759	147
837	760	147
838	761	146
839	762	145
840	762	144
841	763	143
842	764	142
843	765	141
844	766	140
845	766	139
846	767	138
847	768	137
848	769	136
849	769	135
850	770	134
851	771	134
852	772	133
853	773	132
854	773	131
855	774	130
856	775	129
857	775	128
858	776	127
859	777	126
860	778	125
861	779	124
862	780	123
863	780	122
864	781	121
865	782	121
866	783	120
867	783	119
868	784	118
869	785	117
870	786	116
871	786	115
872	787	114
873	788	113
874	789	112
875	790	111
876	790	110
877	791	110
878	792	109
879	793	108
880	793	107
881	794	106
882	795	105
883	796	104
884	797	103
885	797	102
886	798	101
887	799	100
888	800	99
889	800	98
890	801	98
891	802	97
892	803	96
893	804	95
894	805	94
895	806	93
896	806	92
897	807	91
898	808	90
899	809	89
900	810	89
901	811	88
902	811	87
903	812	86
904	813	85
905	814	84
906	814	83
907	815	82
908	816	81
909	817	80
910	818	79
911	819	79
912	819	78
913	820	77
914	821	76
915	822	75
916	822	74
917	823	73
918	824	72
919	825	71
920	826	70
921	826	69
922	827	69
923	828	68
924	829	67
925	830	66
926	830	65
927	831	64
928	832	63
929	833	62
930	834	61
931	835	60
932	835	60
933	836	59
934	837	58
935	838	57
936	839	56
937	839	55
938	840	54
939	841	53
940	842	52
941	843	51
942	844	51
943	845	50
944	846	49
945	847	48
946	848	47
947	848	46
948	849	45
949	850	44
950	851	43
951	852	42
952	853	42
953	853	41
954	854	40
955	855	39
956	856	38
957	857	37
958	857	36
959	858	35
960	859	34
961	860	33
962	861	33
963	861	32
964	862	31
965	863	30
966	864	29
967	864	28
968	865	27
969	866	26
970	867	25
971	867	24
972	868	24
973	869	23
974	870	22
975	870	21
976	871	20
977	872	19
978	873	18
979	874	17
980	874	16
981	875	16
982	876	15
983	877	14
984	878	13
985	879	12
986	880	11
987	880	10
988	881	9
989	882	8
990	883	8
991	884	7
992	884	6
993	885	5
994	886	4
995	887	3
996	888	2
997	888	1
998	889	0
999	890	0
